No,Appelation,County,State,Area,isAVA
1,'Alexander Valley','Sonoma','California','North Coast','Yes'
2,'Amador County','Amador','California','Sierra Foothills','No'
3,'Amador-Mendocino-Sonoma Counties','N/A','California','N/A','No'
4,'Anderson Valley','Mendocino','California','North Coast','Yes'
5,'Arroyo Grande Valley','San Luis Obispo','California','Central Coast','Yes'
6,'Atlas Peak','Napa','California','North Coast','Yes'
7,'Bennett Valley','Sonoma','California','North Coast','Yes'
8,'Calaveras County','Calaveras','California','Sierra Foothills','No'
9,'California','N/A','California','California','No'
10,'Carneros','Napa','California','North Coast','Yes'
11,'Central Coast','N/A','California','Central Coast','Yes'
12,'Chalk Hill','Sonoma','California','North Coast','Yes'
13,'Chalone','Monterey','California','Central Coast','Yes'
14,'Contra Costa County','Contra Costa','California','Santa Cruz Mountains','No'
15,'Dry Creek Valley','Sonoma','California','North Coast','Yes'
16,'Edna Valley','San Luis Obispo','California','Central Coast','Yes'
17,'Fiddletown','Amador','California','Sierra Foothills','Yes'
18,'Green Valley of Russian River Valley','Sonoma','California','North Coast','Yes'
19,'Guenoc Valley','Lake','California','North Coast','Yes'
20,'Happy Canyon of Santa Barbara','Santa Barbara','California','Central Coast','Yes'
21,'Howell Mountain','Napa','California','North Coast','Yes'
22,'Knights Valley','Sonoma','California','North Coast','Yes'
23,'Lake County','Lake','California','North Coast','No'
24,'Livermore Valley','Alameda','California','Santa Cruz Mountains','Yes'
25,'Lodi','San Joaquin','California','Central Valley','Yes'
26,'Mendocino County','Mendocino','California','North Coast','No'
27,'Monterey County','Monterey','California','Central Coast','No'
28,'Mount Harlan','San Benito','California','Central Coast','Yes'
29,'Mount Vedeer','Napa','California','North Coast','Yes'
30,'Napa Valley','Napa','California','North Coast','Yes'
31,'Napa-Sonoma counties','N/A','California','North Coast','No'
32,'North Coast','N/A','California','North Coast','Yes'
33,'Oakville','Napa','California','North Coast','Yes'
34,'Paso Robles','San Luis Obispo','California','Central Coast','Yes'
35,'Red Hills Lake County','Lake','California','North Coast','Yes'
36,'Rockpile','Sonoma','California','North Coast','Yes'
37,'Russian River Valley','Sonoma','California','North Coast','Yes'
38,'Rutherford','Napa','California','North Coast','Yes'
39,'San Luis Obispo County','San Luis Obispo','California','Central Coast','No'
40,'Santa Barbara County','Santa Barbara','California','Central Coast','No'
41,'Santa Cruz Mountains','N/A','California','Santa Cruz Mountains','Yes'
42,'Santa Lucia Highlands','Monterey','California','Central Coast','Yes'
43,'Santa Maria Valley','Santa Barbara','California','Central Coast','Yes'
44,'Santa Ynez Valley','Santa Barbara','California','Central Coast','Yes'
45,'Shenandoah Valley','Amador','California','Sierra Foothills','Yes'
46,'Sierra Foothills','N/A','California','Sierra Foothills','Yes'
47,'Solano County','Solano','California','North Coast','No'
48,'Sonoma Coast','Sonoma','California','North Coast','Yes'
49,'Sonoma County','Sonoma','California','North Coast','No'
50,'Sonoma Valley','Sonoma','California','North Coast','Yes'
51,'Sonoma-Lake Counties','N/A','California','North Coast','Yes'
52,'Spring Mountain District','Napa','California','North Coast','Yes'
53,'St. Helena','Napa','California','North Coast','Yes'
54,'Sta. Rita Hills','Santa Barbara','California','Central Coast','Yes'
55,'Stags Leap District','Napa','California','North Coast','Yes'
56,'Yolo County','Yolo','California','Central Valley','No'
57,'Yountville','Napa','California','North Coast','Yes'
